timestamp,buySellRatio,buyVol,sellVol
2026-05-07 07:30:00+00:00,1.0663,242.373,227.296
2026-05-07 07:35:00+00:00,0.4695,134.995,287.557
2026-05-07 07:40:00+00:00,0.4149,76.373,184.071
2026-05-07 07:45:00+00:00,0.4465,157.956,353.79
2026-05-07 07:50:00+00:00,0.6197,172.84,278.903
2026-05-07 07:55:00+00:00,1.5952,159.087,99.727
2026-05-07 08:00:00+00:00,0.9423,236.998,251.51
2026-05-07 08:05:00+00:00,1.633,155.57,95.267
2026-05-07 08:10:00+00:00,0.3607,101.566,281.55
2026-05-07 08:15:00+00:00,0.3222,114.116,354.15
2026-05-07 08:20:00+00:00,0.7929,233.065,293.954
2026-05-07 08:25:00+00:00,0.9561,176.038,184.124
2026-05-07 08:30:00+00:00,0.6585,137.88,209.389
2026-05-07 08:35:00+00:00,0.84,191.691,228.191
2026-05-07 08:40:00+00:00,0.463,112.298,242.56
2026-05-07 08:45:00+00:00,0.7355,134.015,182.198
2026-05-07 08:50:00+00:00,1.5294,138.822,90.771
2026-05-07 08:55:00+00:00,0.819,163.841,200.06
2026-05-07 09:00:00+00:00,0.4319,177.345,410.641
2026-05-07 09:05:00+00:00,1.0909,121.836,111.682
2026-05-07 09:10:00+00:00,1.2737,116.011,91.08
2026-05-07 09:15:00+00:00,1.4069,152.235,108.204
2026-05-07 09:20:00+00:00,0.2675,89.741,335.525
2026-05-07 09:25:00+00:00,0.6729,247.396,367.674
2026-05-07 09:30:00+00:00,0.8257,279.296,338.248
2026-05-07 09:35:00+00:00,0.5385,422.567,784.656
2026-05-07 09:40:00+00:00,0.6249,278.309,445.339
2026-05-07 09:45:00+00:00,2.169,302.073,139.27
2026-05-07 09:50:00+00:00,0.9655,195.471,202.452
2026-05-07 09:55:00+00:00,1.0838,133.665,123.329
2026-05-07 10:00:00+00:00,1.0572,287.645,272.08
2026-05-07 10:05:00+00:00,1.4285,121.367,84.961
2026-05-07 10:10:00+00:00,0.6352,210.016,330.626
2026-05-07 10:15:00+00:00,1.4222,177.31,124.676
2026-05-07 10:20:00+00:00,0.6187,114.939,185.779
2026-05-07 10:25:00+00:00,0.5982,679.763,1136.285
2026-05-07 10:30:00+00:00,1.6157,428.184,265.013
2026-05-07 10:35:00+00:00,1.6178,162.782,100.621
2026-05-07 10:40:00+00:00,1.1545,200.492,173.663
2026-05-07 10:45:00+00:00,0.5308,214.752,404.582
2026-05-07 10:50:00+00:00,1.184,109.941,92.854
2026-05-07 10:55:00+00:00,1.5543,96.878,62.331
2026-05-07 11:00:00+00:00,1.4802,377.869,255.274
2026-05-07 11:05:00+00:00,1.1793,417.068,353.666
2026-05-07 11:10:00+00:00,0.5192,61.898,119.214
2026-05-07 11:15:00+00:00,1.2317,148.782,120.792
2026-05-07 11:20:00+00:00,1.8032,118.045,65.464
2026-05-07 11:25:00+00:00,0.9613,49.659,51.658
2026-05-07 11:30:00+00:00,1.528,73.546,48.132
2026-05-07 11:35:00+00:00,1.1605,58.835,50.696
2026-05-07 11:40:00+00:00,0.6138,60.894,99.201
2026-05-07 11:45:00+00:00,0.7701,76.223,98.973
2026-05-07 11:50:00+00:00,1.2074,253.668,210.098
2026-05-07 11:55:00+00:00,1.0097,150.192,148.745
2026-05-07 12:00:00+00:00,1.3043,240.778,184.61
2026-05-07 12:05:00+00:00,0.9973,68.955,69.14
2026-05-07 12:10:00+00:00,1.5188,319.168,210.139
